[17:00:32] === HUpWegd7 高密度崩盘取证监控启动 ===
[17:00:33] 基线: 价格$0.00202811 流动性$101,893
[17:56:48] 价格$0.00200680  流动性$100,885(峰值$117,498)  已存档30笔逐笔  操盘方卖出比例=1.2%
[17:57:48] 价格$0.00202472  流动性$101,441(峰值$117,498)  已存档91笔逐笔
[17:58:48] 价格$0.00203132  流动性$101,629(峰值$117,498)  已存档81笔逐笔
[17:59:49] 价格$0.00205612  流动性$102,146(峰值$117,498)  已存档37笔逐笔
[18:00:49] 价格$0.00205612  流动性$102,146(峰值$117,498)  已存档85笔逐笔
[18:01:50] 价格$0.00209172  流动性$103,120(峰值$117,498)  已存档94笔逐笔  操盘方卖出比例=1.2%
[18:02:51] 价格$0.00210481  流动性$103,426(峰值$117,498)  已存档63笔逐笔
[18:03:51] 价格$0.00211975  流动性$103,863(峰值$117,498)  已存档76笔逐笔
[18:04:52] 价格$0.00213752  流动性$104,372(峰值$117,498)  已存档63笔逐笔
[18:05:53] 价格$0.00215235  流动性$104,598(峰值$117,498)  已存档72笔逐笔
[18:06:54] 价格$0.00215235  流动性$104,598(峰值$117,498)  已存档60笔逐笔  操盘方卖出比例=1.2%
[18:07:55] 价格$0.00217792  流动性$105,336(峰值$117,498)  已存档74笔逐笔
[18:08:56] 价格$0.00217792  流动性$105,336(峰值$117,498)  已存档64笔逐笔
[18:09:57] 价格$0.00221398  流动性$106,187(峰值$117,498)  已存档78笔逐笔
[18:10:58] 价格$0.00221398  流动性$106,187(峰值$117,498)  已存档68笔逐笔
[18:11:59] 价格$0.00223269  流动性$106,653(峰值$117,498)  已存档67笔逐笔  操盘方卖出比例=1.2%
[18:13:00] 价格$0.00224615  流动性$106,951(峰值$117,498)  已存档71笔逐笔
[18:14:01] 价格$0.00225895  流动性$107,140(峰值$117,498)  已存档69笔逐笔
[18:15:02] 价格$0.00227561  流动性$107,671(峰值$117,498)  已存档70笔逐笔
[18:16:03] 价格$0.00229004  流动性$107,943(峰值$117,498)  已存档62笔逐笔
[18:17:04] 价格$0.00230832  流动性$108,387(峰值$117,498)  已存档75笔逐笔  操盘方卖出比例=1.2%
[18:18:05] 价格$0.00232587  流动性$108,820(峰值$117,498)  已存档70笔逐笔
[18:19:06] 价格$0.00234084  流动性$109,176(峰值$117,498)  已存档65笔逐笔
[18:20:07] 价格$0.00234753  流动性$109,353(峰值$117,498)  已存档75笔逐笔
[18:21:08] 价格$0.00237102  流动性$109,986(峰值$117,498)  已存档71笔逐笔
[18:22:09] 价格$0.00238191  流动性$110,157(峰值$117,498)  已存档66笔逐笔  操盘方卖出比例=1.2%
[18:23:10] 价格$0.00239822  流动性$110,631(峰值$117,498)  已存档68笔逐笔
[18:24:11] 价格$0.00241925  流动性$110,914(峰值$117,498)  已存档72笔逐笔
[18:25:12] 价格$0.00242616  流动性$111,099(峰值$117,498)  已存档64笔逐笔
[18:26:13] 价格$0.00242616  流动性$111,099(峰值$117,498)  已存档70笔逐笔
[18:27:14] 价格$0.00246073  流动性$111,898(峰值$117,498)  已存档71笔逐笔  操盘方卖出比例=1.2%
[18:28:14] 价格$0.00248216  流动性$112,479(峰值$117,498)  已存档68笔逐笔
[18:29:15] 价格$0.00248216  流动性$112,479(峰值$117,498)  已存档70笔逐笔
[18:30:16] 价格$0.00251411  流动性$113,274(峰值$117,498)  已存档69笔逐笔
[18:31:17] 价格$0.00252241  流动性$113,367(峰值$117,498)  已存档68笔逐笔
[18:32:18] 价格$0.00253599  流动性$113,640(峰值$117,498)  已存档58笔逐笔  操盘方卖出比例=1.2%
[18:33:19] 价格$0.00255563  流动性$114,062(峰值$117,498)  已存档84笔逐笔
[18:34:20] 价格$0.00256836  流动性$114,447(峰值$117,498)  已存档66笔逐笔
[18:35:21] 价格$0.00256836  流动性$114,447(峰值$117,498)  已存档70笔逐笔
[18:36:22] 价格$0.00258953  流动性$114,867(峰值$117,498)  已存档62笔逐笔
[18:37:25] 价格$0.00260782  流动性$115,272(峰值$117,498)  已存档66笔逐笔  操盘方卖出比例=1.1%
[18:38:26] 价格$0.00260782  流动性$115,272(峰值$117,498)  已存档75笔逐笔
[18:39:26] 价格$0.00264116  流动性$116,070(峰值$117,498)  已存档63笔逐笔
[18:40:28] 价格$0.00265774  流动性$116,325(峰值$117,498)  已存档78笔逐笔
[18:41:28] 价格$0.00266923  流动性$116,725(峰值$117,498)  已存档66笔逐笔
[18:42:29] 价格$0.00266923  流动性$116,725(峰值$117,498)  已存档74笔逐笔  操盘方卖出比例=1.1%
[18:43:30] 价格$0.00269931  流动性$117,281(峰值$117,498)  已存档71笔逐笔
[18:44:31] 价格$0.00271585  流动性$117,788(峰值$117,788)  已存档65笔逐笔
[18:45:32] 价格$0.00273847  流动性$118,150(峰值$118,150)  已存档75笔逐笔
[18:46:33] 价格$0.00274211  流动性$118,312(峰值$118,312)  已存档68笔逐笔
[18:47:34] 价格$0.00274211  流动性$118,312(峰值$118,312)  已存档69笔逐笔  操盘方卖出比例=1.1%
[18:48:35] 价格$0.00276165  流动性$118,643(峰值$118,643)  已存档63笔逐笔
[18:49:36] 价格$0.00277220  流动性$118,823(峰值$118,823)  已存档73笔逐笔
[18:50:37] 价格$0.00277220  流动性$118,823(峰值$118,823)  已存档67笔逐笔
[18:51:37] 价格$0.00280802  流动性$119,645(峰值$119,645)  已存档67笔逐笔
[18:52:38] 价格$0.00282718  流动性$119,909(峰值$119,909)  已存档67笔逐笔  操盘方卖出比例=1.1%
[18:53:39] 价格$0.00283556  流动性$120,244(峰值$120,244)  已存档66笔逐笔
[18:54:41] 价格$0.00284978  流动性$120,494(峰值$120,494)  已存档69笔逐笔
[18:55:41] 价格$0.00284978  流动性$120,494(峰值$120,494)  已存档70笔逐笔
[18:56:43] 价格$0.00288933  流动性$121,230(峰值$121,230)  已存档67笔逐笔
[18:57:44] 价格$0.00291393  流动性$121,682(峰值$121,682)  已存档72笔逐笔  操盘方卖出比例=1.1%
[18:58:45] 价格$0.00291393  流动性$121,682(峰值$121,682)  已存档64笔逐笔
[18:59:46] 价格$0.00294473  流动性$122,504(峰值$122,504)  已存档67笔逐笔
[19:00:47] 价格$0.00296765  流动性$123,068(峰值$123,068)  已存档74笔逐笔
[19:01:48] 价格$0.00298154  流动性$123,186(峰值$123,186)  已存档70笔逐笔
[19:02:49] 价格$0.00299310  流动性$123,455(峰值$123,455)  已存档42笔逐笔  操盘方卖出比例=1.1%
[19:03:49] 价格$0.00299310  流动性$123,455(峰值$123,455)  已存档90笔逐笔
[19:04:51] 价格$0.00302940  流动性$124,301(峰值$124,301)  已存档71笔逐笔
[19:05:52] 价格$0.00304679  流动性$124,701(峰值$124,701)  已存档62笔逐笔
[19:06:53] 价格$0.00305764  流动性$124,948(峰值$124,948)  已存档69笔逐笔
[19:07:54] 价格$0.00306382  流动性$125,007(峰值$125,007)  已存档75笔逐笔  操盘方卖出比例=1.1%
[19:08:55] 价格$0.00307789  流动性$125,417(峰值$125,417)  已存档64笔逐笔
[19:09:56] 价格$0.00309394  流动性$125,776(峰值$125,776)  已存档71笔逐笔
[19:10:57] 价格$0.00310577  流动性$126,062(峰值$126,062)  已存档60笔逐笔
[19:11:57] 价格$0.00310577  流动性$126,062(峰值$126,062)  已存档60笔逐笔
[19:12:58] 价格$0.00313199  流动性$126,620(峰值$126,620)  已存档70笔逐笔  操盘方卖出比例=1.1%
[19:13:59] 价格$0.00314322  流动性$126,878(峰值$126,878)  已存档70笔逐笔
[19:15:00] 价格$0.00314322  流动性$126,878(峰值$126,878)  已存档72笔逐笔
[19:16:00] 价格$0.00317306  流动性$127,275(峰值$127,275)  已存档71笔逐笔
[19:17:01] 价格$0.00318198  流动性$127,528(峰值$127,528)  已存档66笔逐笔
[19:18:03] 价格$0.00318198  流动性$127,528(峰值$127,528)  已存档58笔逐笔  操盘方卖出比例=1.1%
[19:19:04] 价格$0.00322370  流动性$128,417(峰值$128,417)  已存档82笔逐笔
[19:20:05] 价格$0.00323193  流动性$128,723(峰值$128,723)  已存档64笔逐笔
[19:21:06] 价格$0.00324715  流动性$128,809(峰值$128,809)  已存档67笔逐笔
[19:22:06] 价格$0.00326243  流动性$129,171(峰值$129,171)  已存档70笔逐笔
[19:23:08] 价格$0.00327868  流动性$129,473(峰值$129,473)  已存档65笔逐笔  操盘方卖出比例=1.1%
[19:24:09] 价格$0.00327868  流动性$129,473(峰值$129,473)  已存档59笔逐笔
[19:25:09] 价格$0.00332046  流动性$130,260(峰值$130,260)  已存档76笔逐笔
[19:26:10] 价格$0.00332046  流动性$130,260(峰值$130,260)  已存档66笔逐笔
[19:27:11] 价格$0.00335649  流动性$130,943(峰值$130,943)  已存档70笔逐笔
[19:28:12] 价格$0.00336846  流动性$131,274(峰值$131,274)  已存档71笔逐笔  操盘方卖出比例=1.1%
[19:29:13] 价格$0.00338207  流动性$131,659(峰值$131,659)  已存档61笔逐笔
[19:30:14] 价格$0.00339844  流动性$131,830(峰值$131,830)  已存档73笔逐笔
[19:31:15] 价格$0.00341914  流动性$132,152(峰值$132,152)  已存档69笔逐笔
[19:32:15] 价格$0.00341914  流动性$132,152(峰值$132,152)  已存档60笔逐笔
[19:33:16] 价格$0.00343535  流动性$132,496(峰值$132,496)  已存档72笔逐笔  操盘方卖出比例=1.1%
[19:34:17] 价格$0.00343535  流动性$132,496(峰值$132,496)  已存档65笔逐笔
[19:35:18] 价格$0.00347174  流动性$133,308(峰值$133,308)  已存档71笔逐笔
[19:36:19] 价格$0.00347174  流动性$133,308(峰值$133,308)  已存档72笔逐笔
[19:37:20] 价格$0.00351098  流动性$134,097(峰值$134,097)  已存档71笔逐笔
[19:38:21] 价格$0.00353383  流动性$134,554(峰值$134,554)  已存档66笔逐笔  操盘方卖出比例=1.1%
[19:39:22] 价格$0.00354689  流动性$134,914(峰值$134,914)  已存档68笔逐笔
