[15:48:29] === EnxNwE5V 高密度崩盘取证监控启动 ===
[15:48:30] 基线: 价格$0.00050999 流动性$49,721
[16:47:42] 价格$0.00053573  流动性$51,427(峰值$51,427)  已存档1笔逐笔
[16:48:42] 价格$0.00053573  流动性$51,427(峰值$51,427)  已存档0笔逐笔
[16:49:42] 价格$0.00053536  流动性$51,388(峰值$51,427)  已存档2笔逐笔  操盘方卖出比例=0.0%
[16:50:43] 价格$0.00053536  流动性$51,388(峰值$51,427)  已存档0笔逐笔
[16:51:43] 价格$0.00053529  流动性$51,427(峰值$51,427)  已存档1笔逐笔
[16:52:43] 价格$0.00053573  流动性$51,421(峰值$51,427)  已存档1笔逐笔
[16:53:44] 价格$0.00053573  流动性$51,421(峰值$51,427)  已存档0笔逐笔
[16:54:44] 价格$0.00053529  流动性$51,412(峰值$51,427)  已存档2笔逐笔  操盘方卖出比例=0.0%
[16:55:45] 价格$0.00053529  流动性$51,386(峰值$51,427)  已存档0笔逐笔
[16:56:45] 价格$0.00053529  流动性$51,386(峰值$51,427)  已存档0笔逐笔
[16:57:45] 价格$0.00053529  流动性$51,386(峰值$51,427)  已存档0笔逐笔
[16:58:46] 价格$0.00053529  流动性$51,386(峰值$51,427)  已存档0笔逐笔
[16:59:46] 价格$0.00053529  流动性$51,386(峰值$51,427)  已存档0笔逐笔  操盘方卖出比例=0.0%
[17:00:47] 价格$0.00053529  流动性$51,386(峰值$51,427)  已存档0笔逐笔
[17:01:47] 价格$0.00052949  流动性$51,423(峰值$51,427)  已存档1笔逐笔
[17:02:47] 价格$0.00052949  流动性$51,423(峰值$51,427)  已存档0笔逐笔
[17:03:48] 价格$0.00053799  流动性$51,669(峰值$51,669)  已存档3笔逐笔
[17:04:48] 价格$0.00054437  流动性$51,669(峰值$51,669)  已存档1笔逐笔  操盘方卖出比例=0.1%
[17:05:49] 价格$0.00053823  流动性$51,883(峰值$51,883)  已存档2笔逐笔
[17:06:49] 价格$0.00054533  流动性$51,897(峰值$51,897)  已存档2笔逐笔
[17:07:50] 价格$0.00054564  流动性$51,982(峰值$51,982)  已存档3笔逐笔
[17:08:50] 价格$0.00054671  流动性$51,984(峰值$51,984)  已存档1笔逐笔
[17:09:51] 价格$0.00054671  流动性$51,984(峰值$51,984)  已存档1笔逐笔  操盘方卖出比例=0.1%
[17:10:51] 价格$0.00054730  流动性$52,025(峰值$52,025)  已存档3笔逐笔
[17:11:52] 价格$0.00054656  流动性$52,012(峰值$52,025)  已存档2笔逐笔
[17:12:52] 价格$0.00054699  流动性$52,019(峰值$52,025)  已存档1笔逐笔
[17:13:53] 价格$0.00054849  流动性$52,041(峰值$52,041)  已存档2笔逐笔
[17:14:53] 价格$0.00054208  流动性$52,159(峰值$52,159)  已存档1笔逐笔  操盘方卖出比例=0.1%
[17:15:53] 价格$0.00054208  流动性$52,159(峰值$52,159)  已存档1笔逐笔
[17:16:54] 价格$0.00054935  流动性$52,123(峰值$52,159)  已存档4笔逐笔
[17:17:55] 价格$0.00054240  流动性$52,171(峰值$52,171)  已存档1笔逐笔
[17:18:55] 价格$0.00054240  流动性$52,171(峰值$52,171)  已存档1笔逐笔
[17:19:56] 价格$0.00054183  流动性$52,115(峰值$52,171)  已存档2笔逐笔  操盘方卖出比例=0.1%
[17:20:56] 价格$0.00054875  流动性$52,096(峰值$52,171)  已存档2笔逐笔
[17:21:56] 价格$0.00054875  流动性$52,096(峰值$52,171)  已存档2笔逐笔
[17:22:57] 价格$0.00055253  流动性$52,249(峰值$52,249)  已存档0笔逐笔
[17:23:57] 价格$0.00055283  流动性$52,017(峰值$52,249)  已存档3笔逐笔
[17:24:58] 价格$0.00054711  流动性$52,397(峰值$52,397)  已存档2笔逐笔  操盘方卖出比例=0.2%
[17:25:58] 价格$0.00054731  流动性$52,421(峰值$52,421)  已存档3笔逐笔
[17:26:59] 价格$0.00055408  流动性$52,363(峰值$52,421)  已存档2笔逐笔
[17:27:59] 价格$0.00055547  流动性$52,455(峰值$52,455)  已存档2笔逐笔
[17:29:00] 价格$0.00055547  流动性$52,455(峰值$52,455)  已存档1笔逐笔
[17:30:01] 价格$0.00054922  流动性$52,535(峰值$52,535)  已存档3笔逐笔  操盘方卖出比例=0.2%
[17:31:01] 价格$0.00055560  流动性$52,191(峰值$52,535)  已存档1笔逐笔
[17:32:02] 价格$0.00055623  流动性$52,467(峰值$52,535)  已存档1笔逐笔
[17:33:03] 价格$0.00055707  流动性$52,555(峰值$52,555)  已存档2笔逐笔
[17:34:04] 价格$0.00055707  流动性$52,555(峰值$52,555)  已存档1笔逐笔
[17:35:04] 价格$0.00055179  流动性$52,679(峰值$52,679)  已存档2笔逐笔  操盘方卖出比例=0.2%
[17:36:05] 价格$0.00055167  流动性$52,689(峰值$52,689)  已存档3笔逐笔
[17:37:05] 价格$0.00055849  流动性$52,326(峰值$52,689)  已存档2笔逐笔
[17:38:06] 价格$0.00055193  流动性$52,641(峰值$52,689)  已存档1笔逐笔
[17:39:06] 价格$0.00055193  流动性$52,641(峰值$52,689)  已存档1笔逐笔
[17:40:07] 价格$0.00055931  流动性$52,351(峰值$52,689)  已存档3笔逐笔  操盘方卖出比例=0.2%
[17:41:07] 价格$0.00055265  流动性$52,656(峰值$52,689)  已存档2笔逐笔
[17:42:08] 价格$0.00055896  流动性$52,350(峰值$52,689)  已存档1笔逐笔
[17:43:09] 价格$0.00055972  流动性$52,660(峰值$52,689)  已存档3笔逐笔
[17:44:09] 价格$0.00055972  流动性$52,660(峰值$52,689)  已存档0笔逐笔
[17:45:10] 价格$0.00056058  流动性$52,748(峰值$52,748)  已存档4笔逐笔  操盘方卖出比例=0.2%
[17:46:10] 价格$0.00055366  流动性$52,710(峰值$52,748)  已存档1笔逐笔
[17:47:11] 价格$0.00055366  流动性$52,710(峰值$52,748)  已存档2笔逐笔
[17:48:12] 价格$0.00055572  流动性$52,811(峰值$52,811)  已存档3笔逐笔
[17:49:12] 价格$0.00056208  流动性$52,531(峰值$52,811)  已存档1笔逐笔
[17:50:13] 价格$0.00056208  流动性$52,531(峰值$52,811)  已存档0笔逐笔  操盘方卖出比例=0.2%
[17:51:13] 价格$0.00056249  流动性$52,506(峰值$52,811)  已存档3笔逐笔
[17:52:14] 价格$0.00056249  流动性$52,506(峰值$52,811)  已存档3笔逐笔
[17:53:14] 价格$0.00056303  流动性$52,554(峰值$52,811)  已存档0笔逐笔
[17:54:15] 价格$0.00056350  流动性$52,571(峰值$52,811)  已存档3笔逐笔
[17:55:16] 价格$0.00056414  流动性$52,571(峰值$52,811)  已存档1笔逐笔  操盘方卖出比例=0.2%
[17:56:16] 价格$0.00056414  流动性$52,571(峰值$52,811)  已存档2笔逐笔
[17:57:17] 价格$0.00056346  流动性$52,562(峰值$52,811)  已存档3笔逐笔
[17:58:17] 价格$0.00056358  流动性$52,552(峰值$52,811)  已存档3笔逐笔
[17:59:18] 价格$0.00056358  流动性$52,552(峰值$52,811)  已存档2笔逐笔
[18:00:19] 价格$0.00055825  流动性$52,961(峰值$52,961)  已存档3笔逐笔  操盘方卖出比例=0.2%
[18:01:20] 价格$0.00055825  流动性$52,961(峰值$52,961)  已存档3笔逐笔
[18:02:20] 价格$0.00056628  流动性$53,002(峰值$53,002)  已存档2笔逐笔
[18:03:21] 价格$0.00056642  流动性$53,019(峰值$53,019)  已存档2笔逐笔
[18:04:22] 价格$0.00056695  流动性$53,103(峰值$53,103)  已存档3笔逐笔
[18:05:25] 价格$0.00056058  流动性$53,049(峰值$53,103)  已存档2笔逐笔  操盘方卖出比例=0.2%
[18:06:25] 价格$0.00056825  流动性$53,092(峰值$53,103)  已存档2笔逐笔
[18:07:26] 价格$0.00056836  流动性$53,171(峰值$53,171)  已存档2笔逐笔
[18:08:26] 价格$0.00056836  流动性$53,171(峰值$53,171)  已存档3笔逐笔
[18:09:27] 价格$0.00056977  流动性$53,212(峰值$53,212)  已存档3笔逐笔
[18:10:28] 价格$0.00057046  流动性$53,248(峰值$53,248)  已存档1笔逐笔  操盘方卖出比例=0.2%
[18:11:28] 价格$0.00056925  流动性$52,876(峰值$53,248)  已存档2笔逐笔
[18:12:29] 价格$0.00056935  流动性$53,163(峰值$53,248)  已存档3笔逐笔
[18:13:30] 价格$0.00056351  流动性$53,163(峰值$53,248)  已存档2笔逐笔
[18:14:30] 价格$0.00056351  流动性$53,163(峰值$53,248)  已存档1笔逐笔
[18:15:31] 价格$0.00057000  流动性$52,873(峰值$53,248)  已存档3笔逐笔  操盘方卖出比例=0.2%
[18:16:31] 价格$0.00056350  流动性$53,221(峰值$53,248)  已存档2笔逐笔
[18:17:32] 价格$0.00056350  流动性$53,221(峰值$53,248)  已存档2笔逐笔
[18:18:33] 价格$0.00057046  流动性$52,920(峰值$53,248)  已存档2笔逐笔
[18:19:34] 价格$0.00057082  流动性$53,239(峰值$53,248)  已存档4笔逐笔
[18:20:35] 价格$0.00057035  流动性$53,229(峰值$53,248)  已存档2笔逐笔  操盘方卖出比例=0.2%
[18:21:35] 价格$0.00056451  流动性$53,218(峰值$53,248)  已存档2笔逐笔
[18:22:36] 价格$0.00056451  流动性$53,218(峰值$53,248)  已存档3笔逐笔
[18:23:37] 价格$0.00057341  流动性$53,019(峰值$53,248)  已存档2笔逐笔
[18:24:38] 价格$0.00057330  流动性$53,370(峰值$53,370)  已存档2笔逐笔
[18:25:39] 价格$0.00057377  流动性$53,342(峰值$53,370)  已存档1笔逐笔  操盘方卖出比例=0.2%
[18:26:40] 价格$0.00057377  流动性$53,342(峰值$53,370)  已存档3笔逐笔
[18:27:41] 价格$0.00056780  流动性$53,444(峰值$53,444)  已存档1笔逐笔
[18:28:42] 价格$0.00056780  流动性$53,444(峰值$53,444)  已存档1笔逐笔
[18:29:42] 价格$0.00057448  流动性$53,085(峰值$53,444)  已存档3笔逐笔
[18:30:43] 价格$0.00057448  流动性$53,085(峰值$53,444)  已存档2笔逐笔  操盘方卖出比例=0.2%
[18:31:44] 价格$0.00057474  流动性$53,096(峰值$53,444)  已存档1笔逐笔
[18:32:45] 价格$0.00057536  流动性$53,492(峰值$53,492)  已存档3笔逐笔
[18:33:46] 价格$0.00057570  流动性$53,143(峰值$53,492)  已存档1笔逐笔
[18:34:47] 价格$0.00057508  流动性$53,117(峰值$53,492)  已存档2笔逐笔
[18:35:47] 价格$0.00057555  流动性$53,115(峰值$53,492)  已存档1笔逐笔  操盘方卖出比例=0.2%
[18:36:48] 价格$0.00057609  流动性$53,444(峰值$53,492)  已存档3笔逐笔
[18:37:49] 价格$0.00057576  流动性$53,174(峰值$53,492)  已存档2笔逐笔
[18:38:50] 价格$0.00057589  流动性$53,495(峰值$53,495)  已存档3笔逐笔
[18:39:51] 价格$0.00056965  流动性$53,493(峰值$53,495)  已存档2笔逐笔
[18:40:52] 价格$0.00057642  流动性$53,453(峰值$53,495)  已存档2笔逐笔  操盘方卖出比例=0.2%
[18:41:53] 价格$0.00057642  流动性$53,453(峰值$53,495)  已存档2笔逐笔
