[16:12:33] === 4hBWjMa6 高密度崩盘取证监控启动 ===
[16:12:34] 基线: 价格$0.01725050 流动性$297,188
[16:58:46] 价格$0.02459464  流动性$357,339(峰值$357,339)  已存档155笔逐笔  操盘方卖出比例=1.3%
[16:59:47] 价格$0.02484070  流动性$357,908(峰值$357,908)  已存档62笔逐笔
[17:00:47] 价格$0.02490651  流动性$359,944(峰值$359,944)  已存档92笔逐笔
[17:01:47] 价格$0.02490651  流动性$359,944(峰值$359,944)  已存档55笔逐笔
[17:02:47] 价格$0.02541011  流动性$362,738(峰值$362,738)  已存档148笔逐笔
[17:03:48] 价格$0.02567219  流动性$363,777(峰值$363,777)  已存档0笔逐笔  操盘方卖出比例=1.5%
[17:04:48] 价格$0.02577743  流动性$364,732(峰值$364,732)  已存档95笔逐笔
[17:05:48] 价格$0.02594977  流动性$366,205(峰值$366,205)  已存档136笔逐笔
[17:06:48] 价格$0.02594977  流动性$366,205(峰值$366,205)  已存档69笔逐笔
[17:07:48] 价格$0.02630653  流动性$369,230(峰值$369,230)  已存档89笔逐笔
[17:08:49] 价格$0.02646320  流动性$370,816(峰值$370,816)  已存档108笔逐笔  操盘方卖出比例=1.6%
[17:09:49] 价格$0.02646320  流动性$370,816(峰值$370,816)  已存档96笔逐笔
[17:10:50] 价格$0.02700962  流动性$373,190(峰值$373,190)  已存档49笔逐笔
[17:11:50] 价格$0.02711501  流动性$374,094(峰值$374,094)  已存档105笔逐笔
[17:12:51] 价格$0.02725218  流动性$374,771(峰值$374,771)  已存档104笔逐笔
[17:13:52] 价格$0.02750587  流动性$376,796(峰值$376,796)  已存档86笔逐笔  操盘方卖出比例=1.7%
[17:14:52] 价格$0.02750587  流动性$376,796(峰值$376,796)  已存档84笔逐笔
[17:15:53] 价格$0.02776816  流动性$378,884(峰值$378,884)  已存档78笔逐笔
[17:16:54] 价格$0.02805283  流动性$380,600(峰值$380,600)  已存档93笔逐笔
[17:17:54] 价格$0.02816268  流动性$381,944(峰值$381,944)  已存档83笔逐笔
[17:18:55] 价格$0.02816268  流动性$381,944(峰值$381,944)  已存档85笔逐笔  操盘方卖出比例=1.8%
[17:19:56] 价格$0.02845497  流动性$383,752(峰值$383,752)  已存档87笔逐笔
[17:20:57] 价格$0.02845497  流动性$383,752(峰值$383,752)  已存档82笔逐笔
[17:21:57] 价格$0.02886014  流动性$386,547(峰值$386,547)  已存档91笔逐笔
[17:22:58] 价格$0.02909544  流动性$387,317(峰值$387,317)  已存档76笔逐笔
[17:24:00] 价格$0.02909544  流动性$387,317(峰值$387,317)  已存档92笔逐笔  操盘方卖出比例=1.9%
[17:25:00] 价格$0.02948781  流动性$390,579(峰值$390,579)  已存档96笔逐笔
[17:26:01] 价格$0.02966261  流动性$392,362(峰值$392,362)  已存档81笔逐笔
[17:27:03] 价格$0.02982120  流动性$392,796(峰值$392,796)  已存档88笔逐笔
[17:28:04] 价格$0.02982120  流动性$392,796(峰值$392,796)  已存档85笔逐笔
[17:29:05] 价格$0.03021630  流动性$395,154(峰值$395,154)  已存档90笔逐笔  操盘方卖出比例=2.0%
[17:30:06] 价格$0.03032232  流动性$396,606(峰值$396,606)  已存档87笔逐笔
[17:31:06] 价格$0.03053885  流动性$397,286(峰值$397,286)  已存档68笔逐笔
[17:32:08] 价格$0.03053885  流动性$397,286(峰值$397,286)  已存档103笔逐笔
[17:33:08] 价格$0.03089154  流动性$400,556(峰值$400,556)  已存档89笔逐笔
[17:34:09] 价格$0.03111795  流动性$401,651(峰值$401,651)  已存档81笔逐笔  操盘方卖出比例=2.1%
[17:35:10] 价格$0.03133502  流动性$403,365(峰值$403,365)  已存档84笔逐笔
[17:36:11] 价格$0.03153947  流动性$404,535(峰值$404,535)  已存档86笔逐笔
[17:37:11] 价格$0.03161152  流动性$405,239(峰值$405,239)  已存档87笔逐笔
[17:38:12] 价格$0.03184738  流动性$405,604(峰值$405,604)  已存档87笔逐笔
[17:39:14] 价格$0.03207084  流动性$407,490(峰值$407,490)  已存档84笔逐笔  操盘方卖出比例=2.2%
[17:40:14] 价格$0.03221841  流动性$408,936(峰值$408,936)  已存档99笔逐笔
[17:41:15] 价格$0.03221841  流动性$408,936(峰值$408,936)  已存档74笔逐笔
[17:42:16] 价格$0.03263680  流动性$410,867(峰值$410,867)  已存档93笔逐笔
[17:43:17] 价格$0.03261604  流动性$412,413(峰值$412,413)  已存档86笔逐笔
[17:44:18] 价格$0.03289380  流动性$413,089(峰值$413,089)  已存档82笔逐笔  操盘方卖出比例=2.3%
